gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
ESRP2,-65.96333043715534,289,-64.12388115853174,289,-1.83944927862359,4491
AAAS,-86.12989350181212,187,-84.28265282942012,187,-1.8472406723920045,4492
ZACN,-110.23013305664062,2,-108.35503005981445,2,-1.8751029968261719,4493
SERPINA9,-122.99210357666016,2,-121.11680221557617,2,-1.8753013610839844,4494
NCKAP5L,-87.22836632361779,260,-85.35243911743164,260,-1.875927206186148,4495
MDP1,-89.01249900817871,100,-87.13549499511718,100,-1.8770040130615229,4496
NFRKB,-68.00118341407622,249,-66.11591758881228,249,-1.885265825263943,4497
JAKMIP3,-125.38705698649089,3,-123.49613444010417,3,-1.8909225463867188,4498
TUBB8,-64.59853813864969,11,-62.70122320001776,11,-1.8973149386319292,4499
XPO4,-50.152363591224145,159,-48.250747776631286,159,-1.9016158145928586,4500
TUFT1,-88.16048281394829,295,-86.23493810104111,295,-1.9255447129071825,4501
PDZK1,-89.01889038085938,1,-87.0586166381836,1,-1.9602737426757812,4502
TBC1D8,-91.46193931842673,87,-89.49574455173536,87,-1.9661947666913733,4503
FAM180B,-96.37278747558594,1,-94.38723754882812,1,-1.9855499267578125,4504
ZNF135,-112.59335327148438,27,-110.58921842221861,27,-2.0041348492657676,4505
SEC24C,-81.9285113049792,385,-79.92269435733944,385,-2.005816947639758,4506
STRN3,-76.58630422218559,388,-74.56770655051949,388,-2.0185976716661003,4507
NUDT17,-86.14025374590341,59,-84.10884352861825,59,-2.0314102172851562,4508
SARNP,-112.68052434654875,179,-110.64447737539281,179,-2.0360469711559404,4509
STON2,-65.65903896755643,54,-63.599495781792534,54,-2.059543185763893,4510
FBXO28,-85.86404089086196,340,-83.79241768332089,340,-2.071623207541066,4511
PRRG2,-81.84563073515892,256,-79.77093026041985,256,-2.0747004747390747,4512
CDK2AP2,-72.88829963053159,1439,-70.80914722307429,1439,-2.0791524074573005,4513
RSPRY1,-82.15248310565948,320,-80.06704714298249,320,-2.0854359626769963,4514
MDM2,-65.42996155920108,484,-63.33924168200532,484,-2.0907198771957525,4515
RABAC1,-72.58760700378984,1619,-70.49405459992454,1619,-2.093552403865303,4516
ERBB2,-76.85274613245893,801,-74.74848737966701,801,-2.104258752791921,4517
DCLRE1B,-86.6687073884187,54,-84.56412421332465,54,-2.1045831750940494,4518
ARV1,-91.76964582991504,494,-89.65701471552676,494,-2.1126311143882788,4519
RNPC3,-120.8529759441239,251,-118.73843392907861,251,-2.114542015045288,4520
C19orf48,-84.26411399745702,399,-82.14580920226592,399,-2.1183047951910936,4521
WHAMM,-82.79409290895623,295,-80.67340695655952,295,-2.1206859523967125,4522
HEBP1,-130.05876022233147,866,-127.923317818939,866,-2.1354424033924744,4523
ABHD1,-110.6542755126953,10,-108.49172668457031,10,-2.162548828124997,4524
SPATS2,-70.54719981878576,355,-68.36149345720318,355,-2.185706361582575,4525
UBAP2L,-97.27060846727947,430,-95.082324378435,430,-2.188284088844469,4526
TJP1,-87.69360743250165,672,-85.50281609807696,672,-2.190791334424688,4527
DGKE,-92.29423008408658,43,-90.10127151844114,43,-2.1929585656454407,4528
CHST10,-60.59970079149519,84,-58.40138294583275,84,-2.1983178456624373,4529
SCAMP2,-66.09166373551915,641,-63.882702016607276,641,-2.2089617189118727,4530
TRIM29,-144.13464980828957,122,-141.91681633620965,122,-2.217833472079917,4531
CRYZ,-100.78236475125165,426,-98.54550577441292,426,-2.2368589768387324,4532
MRPS31,-60.18831164850665,519,-57.947781895396794,519,-2.240529753109854,4533
NTN5,-106.44280751546223,9,-104.19107988145616,9,-2.2517276340060732,4534
LINC01224,-77.75470733642578,1,-75.4854507446289,1,-2.269256591796875,4535
CLUAP1,-84.05388864100665,435,-81.76412956851652,435,-2.289759072490128,4536
SEC23IP,-64.41305176965122,348,-62.12036721459751,348,-2.292684555053711,4537
RPP25,-72.8982662235925,218,-70.58902586490736,218,-2.3092403586851447,4538
MPHOSPH10,-64.62531134212718,425,-62.314314655977135,425,-2.310996686150041,4539
MARVELD1,-90.44081216109426,190,-88.12689963892886,190,-2.3139125221653956,4540
ATF7IP,-65.55439820041546,346,-63.23430583931807,346,-2.3200923610973945,4541
C16orf46,-64.61809736085169,103,-62.29097007084819,103,-2.327127290003503,4542
INPP4A,-77.2069149304874,199,-74.87735790463549,199,-2.329557025851912,4543
SLC25A11,-70.3698262084961,625,-68.03943442382813,625,-2.3303917846679667,4544
CD55,-77.43653178991273,1720,-75.10214536799941,1720,-2.3343864219133224,4545
CLCC1,-81.71634614525772,205,-79.3775024041897,205,-2.3388437410680183,4546
C10orf82,-132.05331420898438,1,-129.7029266357422,1,-2.3503875732421875,4547
CELA1,-109.40196990966795,1,-107.0408706665039,1,-2.3610992431640483,4548
ZFP14,-60.14117529504586,191,-57.77055223075507,191,-2.3706230642907897,4549
PHKG2,-61.21596285783125,362,-58.84164028273103,362,-2.374322575100223,4550
SFSWAP,-92.02629579418767,411,-89.64032864164552,411,-2.3859671525421504,4551
FBXL20,-69.46739693456048,447,-67.07965646014118,447,-2.387740474419303,4552
PCBP1,-90.80455835963275,1705,-88.41489908883999,1705,-2.3896592707927624,4553
MAP3K12,-87.07052798981363,94,-84.67934287862575,94,-2.3911851111878804,4554
AZU1,-93.99341928958893,64,-91.58258926868439,64,-2.410830020904541,4555
CATSPERG,-70.09958171844482,48,-67.66637929280598,48,-2.4332024256388394,4556
MRPL52,-75.22785289689607,1275,-72.79317512063419,1275,-2.4346777762618785,4557
PAFAH2,-105.6277950240905,166,-103.184973751206,166,-2.442821272884501,4558
CAD,-100.97362674985614,112,-98.53009455544608,112,-2.4435321944100536,4559
WSB1,-63.39018412264225,1929,-60.93778464286175,1929,-2.452399479780503,4560
DRAIC,-59.64910486394709,55,-57.18471894697709,55,-2.464385916969995,4561
CYB5A,-112.5370777064518,2035,-110.07201758907233,2035,-2.4650601173794655,4562
ACTA2,-89.11922640013464,103,-86.65222893872307,103,-2.466997461411566,4563
EPS8L1,-91.5603243324569,343,-89.08599915796397,343,-2.4743251744929324,4564
CTDSPL2,-70.94603617051068,238,-68.46568625313895,238,-2.4803499173717256,4565
DNAJC5G,-80.50228881835938,1,-78.01657104492188,1,-2.4857177734375,4566
C19orf84,-85.60138320922852,2,-83.09792709350586,2,-2.5034561157226562,4567
LINC00511,-79.85560377983198,219,-77.34126765978391,219,-2.514336120048071,4568
RAB5B,-102.95203695379692,694,-100.43486173558304,694,-2.517175218213879,4569
RAD51C,-71.83549875994913,306,-69.31368527381248,306,-2.521813486136651,4570
SLC44A2,-53.72879441906906,582,-51.204398584529706,582,-2.524395834539355,4571
FADS2,-53.953820864359535,216,-51.409472430193865,216,-2.54434843416567,4572
KDELR1,-119.88226953414456,1223,-117.32819156225646,1223,-2.5540779718880913,4573
EML1,-93.10579339890253,105,-90.54355824788412,105,-2.562235151018413,4574
ATP7B,-84.0798944745745,28,-81.51734433855329,28,-2.5625501360212155,4575
SLC30A3,-97.37068786621094,10,-94.79598464965821,10,-2.5747032165527344,4576
SH3YL1,-118.85923403567794,1169,-116.2777602340137,1169,-2.581473801664245,4577
HTATIP2,-108.67257641056102,649,-106.08987380910912,649,-2.5827026014518992,4578
GLYR1,-76.59522627350083,532,-74.00941032753852,532,-2.5858159459623096,4579
FZD8,-85.11718399047851,100,-82.53019546508789,100,-2.5869885253906233,4580
LCOR,-91.98506106606013,395,-89.3871805118609,395,-2.5978805541992216,4581
BBS4,-71.07075055965707,242,-68.46247337278255,242,-2.608277186874517,4582
RTN4RL1,-70.32605710236922,69,-67.71534496804942,69,-2.6107121343197974,4583
TMEM145,-70.36317326472356,13,-67.7463396512545,13,-2.616833613469055,4584
XPO1,-64.49655733576482,591,-61.87499799905896,591,-2.6215593367058574,4585
LINC00926,-83.19804486361417,22,-80.57507116144353,22,-2.62297370217064,4586
RPS16,-97.08669515285852,2120,-94.45105249656821,2120,-2.6356426562903152,4587
BCL2L12,-92.81133135433855,464,-90.17556382869851,464,-2.635767525640034,4588
AGO1,-72.13116836547852,238,-69.49406250384675,238,-2.637105861631767,4589
COX15,-63.662283520820814,195,-61.02416553986378,195,-2.638117980957034,4590
PC,-78.30756071747327,122,-75.66118534275743,122,-2.6463753747158307,4591
ENKUR,-104.50224362566172,183,-101.84732568459432,183,-2.6549179410673958,4592
ZNF222,-92.75405190207742,22,-90.09057478471236,22,-2.663477117365062,4593
ZSCAN2,-65.56911140575744,57,-62.90211640742787,57,-2.666994998329571,4594
NIPAL3,-66.51339983231951,404,-63.84406725250849,404,-2.6693325798110195,4595
BEND5,-108.92917673211349,95,-106.24653938695005,95,-2.6826373451634424,4596
THUMPD2,-75.64586855515901,233,-72.94410751408262,233,-2.701761041076395,4597
PPL,-77.8428669923581,644,-75.1397091764841,644,-2.7031578158739933,4598
RND3,-102.77514867631216,630,-100.07156162564716,630,-2.703587050664993,4599
LINC01535,-78.1690444946289,7,-75.45966448102679,7,-2.7093800136021144,4600
ZNF814,-74.56316823807974,63,-71.85012587289961,63,-2.7130423651801294,4601
FAM219B,-62.64097674300031,328,-59.9108787397059,328,-2.730098003294408,4602
OCEL1,-57.129110967224,523,-54.39366885125067,523,-2.7354421159733278,4603
GSTM4,-92.62400994300842,160,-89.88003654479981,160,-2.7439733982086096,4604
FAM161B,-63.84890521302515,49,-61.09871362180126,49,-2.7501915912238886,4605
CDK5RAP3,-105.19149287369741,647,-102.43236834188518,647,-2.7591245318122333,4606
ZNF628,-63.97476530808669,130,-61.20445653475248,130,-2.7703087733342073,4607
TRDMT1,-101.76382393672549,87,-98.9882760760428,87,-2.7755478606826927,4608
CATSPERD,-72.2575975281099,181,-69.47698569956405,181,-2.780611828545844,4609
ZNF223,-92.52814914869225,23,-89.72082220989725,23,-2.8073269387950006,4610
RIN3,-91.27245127360025,150,-88.44876449584962,150,-2.8236867777506376,4611
SENCR,-102.19107818603516,2,-99.35571670532227,2,-2.8353614807128906,4612
MSI2,-107.10007751948609,757,-104.22908856531745,757,-2.870988954168638,4613
SLAMF1,-103.6803347269694,6,-100.80175272623698,6,-2.878582000732422,4614
RNFT2,-117.47943806648254,32,-114.59833359718323,32,-2.8811044692993164,4615
GNA11,-64.9071834295388,596,-62.01006409305854,596,-2.897119336480266,4616
CBL,-75.82350423384686,147,-72.92019217354911,147,-2.9033120602977505,4617
NUFIP2,-84.39350714522801,890,-81.48083388939332,890,-2.91267325583469,4618
C11orf54,-75.5901445031641,502,-72.66666904768621,502,-2.9234754554778846,4619
GALNT6,-77.51923142817982,171,-74.5714363410459,171,-2.947795087133926,4620
ZDHHC13,-73.76574621945066,269,-70.78246159890327,269,-2.983284620547394,4621
EML4,-77.38400618270552,901,-74.39477804101399,901,-2.9892281416915267,4622
STXBP2,-86.6495402036525,834,-83.66008213326799,834,-2.989458070384515,4623
OTUD1,-68.22795422871907,228,-65.21608685610587,228,-3.011867372613196,4624
GCHFR,-51.28641191044369,1184,-48.27398399404577,1184,-3.012427916397918,4625
ZNF689,-100.20003894490934,109,-97.18528887547484,109,-3.0147500694344984,4626
KDF1,-76.6594338695618,291,-73.64062848697414,291,-3.018805382587658,4627
ZZEF1,-65.52761467135683,196,-62.502382765010914,196,-3.0252319063459154,4628
TAF1B,-61.224917676371916,155,-58.17392912833921,155,-3.0509885480327057,4629
ANKRD35,-70.90453938075474,28,-67.85051727294922,28,-3.0540221078055225,4630
POP4,-73.25018822993331,466,-70.17196319645566,466,-3.0782250334776506,4631
HIF3A,-87.88464614323208,56,-84.79969515119281,56,-3.0849509920392677,4632
FUBP1,-74.70434054891572,524,-71.55525880187523,524,-3.1490817470404977,4633
C1orf43,-104.72409510094187,1472,-101.56978965842205,1472,-3.1543054425198136,4634
KCTD13,-75.88035791015625,125,-72.71744982910157,125,-3.162908081054681,4635
LIN7C,-86.00219240655817,347,-82.82680122309529,347,-3.175391183462878,4636
RAB10,-77.01008114657559,910,-73.8334848341051,910,-3.1765963124704797,4637
GREB1,-85.60085678100586,10,-82.40903778076172,10,-3.191819000244138,4638
PRRG4,-67.07791744525616,650,-63.88327336237981,650,-3.1946440828763514,4639
IPO5,-95.96505615927957,484,-92.75767903288533,484,-3.207377126394235,4640
RPRD1A,-78.12513653487437,317,-74.9165678776401,317,-3.2085686572342667,4641
PYGO1,-87.97048530578613,60,-84.75841026306152,60,-3.2120750427246065,4642
DNAH9,-104.94948895345598,149,-101.73162928843658,149,-3.217859665019404,4643
FECH,-78.53643995462005,97,-75.3138260988845,97,-3.2226138557355455,4644
MIR3179-3,-99.94071044921876,5,-96.70935516357422,5,-3.2313552856445398,4645
SIGLEC7,-109.77800473299894,11,-106.53835088556463,11,-3.2396538474343117,4646
GGA3,-88.3968510020863,220,-85.15307121276855,220,-3.243779789317742,4647
ZDHHC20,-74.50574425539357,326,-71.25543732438351,326,-3.2503069310100585,4648
BIRC5,-68.06473601810517,63,-64.80398274981786,63,-3.260753268287303,4649
HBA1,-82.29059364426304,71,-79.02761604416538,71,-3.2629776000976562,4650
MMP21,-96.07638549804688,1,-92.78624725341795,1,-3.2901382446289205,4651
RTBDN,-71.23630196707589,7,-67.93191855294364,7,-3.3043834141322463,4652
FANCI,-91.2807223002116,36,-87.97430992126465,36,-3.306412378946945,4653
GINS2,-86.81791003782358,67,-83.50444679829612,67,-3.313463239527465,4654
NFE2L1,-79.33174479389673,593,-76.01171386101194,593,-3.320030932884791,4655
E2F6,-66.5626168684526,198,-63.2414608001709,198,-3.321156068281695,4656
C17orf80,-76.27789237851002,122,-72.93155007284196,122,-3.3463423056680597,4657
SYNE4,-131.5922823008041,342,-128.24099530671774,342,-3.351286994086365,4658
SPTBN4,-88.89766693115234,10,-85.5388397216797,10,-3.3588272094726506,4659
ZCCHC17,-64.4372616483965,655,-61.071068386631154,655,-3.3661932617653463,4660
TMEM247,-119.57395341661241,18,-116.20769288804796,18,-3.366260528564453,4661
KLF11,-87.50859497070313,175,-84.11926923479352,175,-3.3893257359096083,4662
EIF3I,-78.76408501120174,1275,-75.35355855904373,1275,-3.4105264521580096,4663
ZNF564,-86.79648006663604,17,-83.37766669778263,17,-3.4188133688534066,4664
ABTB2,-87.74994843094437,54,-84.31816228230794,54,-3.4317861486364336,4665
SLC1A7,-100.20065478889309,49,-96.75902557373047,49,-3.441629215162621,4666
ANP32E,-76.11986389160157,645,-72.67734683724336,645,-3.4425170543582055,4667
S100PBP,-70.1865003578979,279,-66.74342619646407,279,-3.4430741614338274,4668
SF3A3,-73.02407547523235,406,-69.57598679641197,406,-3.4480886788203833,4669
TEAD4,-91.84020590013073,62,-88.36835516652754,62,-3.4718507336031905,4670
MRPL23,-87.61660560928685,1213,-84.14169502730027,1213,-3.4749105819865775,4671
USP54,-60.47505556628308,446,-56.99956438038916,446,-3.4754911858939224,4672
NET1,-89.72944576957009,880,-86.24594535827637,880,-3.4835004112937185,4673
STK24-AS1,-110.82979202270508,8,-107.33874130249023,8,-3.4910507202148438,4674
FUT3,-100.88408220867778,215,-97.39169439271438,215,-3.492387815963397,4675
ANKRD10,-81.39156519731384,638,-77.88671344051541,638,-3.5048517567984305,4676
TM9SF1,-67.82937865204863,91,-64.32215063912528,91,-3.507228012923349,4677
HNRNPA3,-75.98860299063591,1548,-72.47390338000709,1548,-3.514699610628824,4678
ATCAY,-82.46208953857422,1,-78.94709014892578,1,-3.5149993896484375,4679
HIP1R,-88.13336944580078,255,-84.61705881754557,255,-3.516310628255212,4680
UNC93B1,-116.55736937889687,624,-113.04055859492375,624,-3.5168107839731135,4681
SDF2,-89.04656846651937,871,-85.51771107442617,871,-3.528857392093201,4682
BABAM1,-61.414057553983206,816,-57.87095399463878,816,-3.5431035593444236,4683
SH3RF3,-90.34702568054199,20,-86.79956359863282,20,-3.547462081909174,4684
RRM1,-76.2280077061183,284,-72.6759419777024,284,-3.5520657284159114,4685
FAM210A,-79.41051994939768,161,-75.8394921818135,161,-3.5710277675841837,4686
MTHFD2,-73.01942470799322,368,-69.4368958680526,368,-3.582528839940622,4687
DAPK3,-50.885223408184395,391,-47.29410968595149,391,-3.5911137222329046,4688
TRIM3,-76.77016088124869,74,-73.15893719647381,74,-3.6112236847748704,4689
DYM,-89.02355015172368,226,-85.40705800689427,226,-3.616492144829408,4690
ITFG2,-62.42902674120526,215,-58.767510347588114,215,-3.6615163936171484,4691
UROS,-74.24157177886363,763,-70.5785233883839,763,-3.66304839047973,4692
ZNF669,-89.76418213617234,84,-86.08925401596795,84,-3.6749281202043846,4693
NOL10,-61.50018199015472,236,-57.82444598311085,236,-3.6757360070438736,4694
PLA2R1,-101.91776706861413,46,-98.23902428668478,46,-3.678742781929344,4695
C1orf210,-84.10716861948399,529,-80.42404008948284,529,-3.6831285300011416,4696
TEX35,-119.3092041015625,1,-115.62377166748048,1,-3.685432434082017,4697
CTDSP2,-76.33628496772799,924,-72.64999720750949,924,-3.686287760218505,4698
PROSER2,-72.67858358808039,211,-68.98807919759886,211,-3.6905043904815216,4699
PITX3,-65.37593078613281,1,-61.6558837890625,1,-3.7200469970703125,4700
SYT17,-61.73594045639038,232,-58.00895858633107,232,-3.726981870059312,4701
FBXO17,-80.71327850341797,50,-76.98215423583984,50,-3.7311242675781244,4702
SIGLEC14,-114.12545013427734,4,-110.37497329711914,4,-3.750476837158203,4703
ZCCHC14,-78.51392843735277,199,-74.75664351573542,199,-3.757284921617355,4704
DPP9,-61.237562452043804,343,-57.46151728949811,343,-3.7760451625456923,4705
ATG101,-69.26307512598545,714,-65.47505175165769,714,-3.7880233743277643,4706
SLC1A4,-119.07521650526259,99,-115.28675950175584,99,-3.7884570035067497,4707
DUSP10,-90.36400324430711,349,-86.56993789454245,349,-3.794065349764665,4708
FBN1,-84.73353599779534,33,-80.93941035415187,33,-3.7941256436434685,4709
CDYL2,-101.7694649947317,38,-97.96962376644737,38,-3.799841228284336,4710
CDC27,-82.77393131903507,383,-78.97030729288844,383,-3.803624026146636,4711
PRKCA,-101.44616016146237,363,-97.63748866730157,363,-3.808671494160805,4712
MED31,-100.25775676609315,485,-96.44705506944165,485,-3.810701696651506,4713
PARP4,-114.80285350101094,355,-110.98638488339706,355,-3.8164686176138787,4714
EHD4,-71.50243291139186,573,-67.68435342732108,573,-3.818079484070779,4715
CCER2,-103.5538828923152,13,-99.72559415377103,13,-3.828288738544174,4716
SCYL3,-92.38767993324682,190,-88.55931099339536,190,-3.828368939851458,4717
MAPT,-73.13365720113119,60,-69.29878018697103,60,-3.8348770141601562,4718
ALDH3A2,-110.72617383070396,710,-106.87374555560905,710,-3.8524282750949084,4719
TOMM40L,-98.49484650076252,73,-94.6056150671554,73,-3.8892314336071223,4720
FKBP7,-102.15620017673659,115,-98.26648904551631,115,-3.889711131220281,4721
PPRC1,-70.20867729187012,264,-66.30443681370129,264,-3.9042404781688305,4722
PITRM1,-84.76996348885929,272,-80.84719181060791,272,-3.9227716782513795,4723
NAGPA,-97.93407401060446,117,-94.01094355134883,117,-3.9231304592556313,4724
AFMID,-80.24903696324122,383,-76.2878766171926,383,-3.9611603460486293,4725
APOA2,-102.69473266601562,1,-98.72168731689452,1,-3.973045349121108,4726
MIB2,-75.05631651128004,394,-71.06743048653385,394,-3.9888860247461935,4727
HOXB7,-84.37651038169861,96,-80.38080072402954,96,-3.9957096576690674,4728
TSG101,-70.28721834478057,859,-66.28908856783812,859,-3.9981297769424486,4729
IRF2BP1,-84.531964057654,199,-80.52933368011935,199,-4.0026303775346435,4730
PRR14,-77.17512503512565,351,-73.16761812389406,351,-4.007506911231587,4731
SPRYD3,-70.41359766998855,271,-66.40144849263434,271,-4.012149177354203,4732
KATNAL2,-111.19987674635284,49,-107.18468428631218,49,-4.015192460040666,4733
GCC2,-94.30260060368752,980,-90.27528506687709,980,-4.027315536810434,4734
MED4,-82.68015140035878,736,-78.65100322598997,736,-4.029148174368814,4735
CLCN6,-72.70966754815517,156,-68.67402707613431,156,-4.035640472020859,4736
USP24,-100.84288917209791,230,-96.7975877844769,230,-4.045301387621009,4737
DSCAML1,-133.28674825032553,18,-129.2344856262207,18,-4.052262624104827,4738
DDX52,-78.3940699066596,422,-74.33920759951334,422,-4.0548623071462515,4739
FRA10AC1,-122.53635333913617,452,-118.47552596573281,452,-4.060827373403356,4740
MTIF2,-65.43673034877712,291,-61.348737565922164,291,-4.087992782854954,4741
SGMS1-AS1,-102.58470074542157,77,-98.49593373088094,77,-4.088767014540636,4742
ARF6,-56.5377622591395,1029,-52.445647021887716,1029,-4.092115237251782,4743
EXO5,-68.62829107987254,38,-64.5337055607846,38,-4.094585519087943,4744
THBS1,-93.96569150807906,196,-89.85390904484963,196,-4.1117824632294315,4745
MIR4432HG,-131.51734924316406,1,-127.39801025390624,1,-4.119338989257827,4746
ESCO1,-44.87236225821755,220,-40.74967568137429,220,-4.1226865768432575,4747
RBM34,-61.36501595069622,58,-57.238883314461546,58,-4.126132636234672,4748
EMP2,-105.31134339178261,1718,-101.18421171763445,1718,-4.12713167414816,4749
OMA1,-114.23158047117036,232,-110.09670783733499,232,-4.134872633835371,4750
PLEKHB1,-72.4057167712553,405,-68.27074309925975,405,-4.134973671995553,4751
PTPRS,-57.31583912262289,281,-53.17126172971895,281,-4.1445773929039404,4752
MORN2,-64.78937870100432,765,-60.61899968066247,765,-4.170379020341855,4753
NFE2L2,-91.738884102109,1233,-87.54685060202543,1233,-4.192033500083568,4754
HELLS,-77.37087187219839,122,-73.16704065291609,122,-4.203831219282307,4755
TMEM179B,-116.94864265377782,1190,-112.74427308154708,1190,-4.204369572230746,4756
ZRANB2,-112.17664104768599,870,-107.9698090301163,870,-4.206832017569695,4757
DISC1,-87.53539703369141,25,-83.32298065185547,25,-4.212416381835936,4758
CALM1,-79.3626005538387,1930,-75.14931440995765,1930,-4.213286143881049,4759
IQGAP1,-64.09242918701172,1250,-59.87810934753418,1250,-4.21431983947754,4760
MMP25,-69.92257458230723,23,-65.69409428472105,23,-4.228480297586188,4761
COL13A1,-98.07035525639851,48,-93.8320852915446,48,-4.238269964853913,4762
TMPO-AS1,-70.63014120804637,38,-66.3726961236251,38,-4.2574450844212635,4763
C5AR2,-87.93561226981026,21,-83.66254134405227,21,-4.273070925757992,4764
MT1A,-88.19582722981771,15,-83.91383260091146,15,-4.281994628906247,4765
GCFC2,-141.2876918045516,194,-136.99534355242227,194,-4.2923482521293295,4766
CTXN2,-114.54080200195312,1,-110.24632263183594,1,-4.2944793701171875,4767
ACP7,-83.25004577636719,2,-78.94969940185547,2,-4.300346374511719,4768
VPS53,-95.43415086217387,321,-91.1328742244162,321,-4.301276637757667,4769
METAP2,-87.62790354909927,1284,-83.31560090323475,1284,-4.31230264586452,4770
AGL,-93.75885743473681,261,-89.41934449645295,261,-4.33951293828386,4771
SHMT2,-79.49841864850609,299,-75.10852977025469,299,-4.389888878251398,4772
ZFYVE26,-71.93558091876888,119,-67.53783641142003,119,-4.397744507348847,4773
NEDD8,-102.77947792310393,1869,-98.37152980112532,1869,-4.407948121978606,4774
TEX29,-125.02328338623047,5,-120.61256866455078,5,-4.410714721679696,4775
TAF15,-86.29965701123676,699,-81.8849712475516,699,-4.414685763685156,4776
SART3,-81.32800508960742,219,-76.91062293205087,219,-4.4173821575565455,4777
MED19,-87.28984128281269,509,-82.84495710811353,509,-4.444884174699155,4778
DGAT2,-114.60721142457264,101,-110.16127935730584,101,-4.445932067266796,4779
CSGALNACT2,-96.22509167151537,167,-91.77443672225861,167,-4.450654949256759,4780
PCGF6,-62.7446668715704,105,-58.288311476934524,105,-4.456355394635878,4781
GH1,-88.07175699869792,3,-83.61377461751302,3,-4.457982381184905,4782
HAS3,-68.42914853321808,359,-63.97051366524444,359,-4.458634867973643,4783
ZNF442,-97.1968649159307,23,-92.73704561979875,23,-4.459819296131954,4784
KDM4B,-90.24679578061135,302,-85.78056615867362,302,-4.466229621937728,4785
TARBP1,-94.2789999950363,332,-89.79569864847574,332,-4.483301346560566,4786
RNF10,-73.83882126339903,723,-69.3433701342402,723,-4.495451129158823,4787
LPIN1,-102.46746465211274,465,-97.95661626015941,465,-4.510848391953331,4788
AP4S1,-144.32959747314453,150,-139.81390116373697,150,-4.515696309407559,4789
NLRP11,-80.17303466796875,1,-75.65010833740234,1,-4.522926330566406,4790
BHLHE41,-102.0768889030524,113,-97.5159095831677,113,-4.560979319884709,4791
MPDU1,-100.73776690391459,562,-96.16408089471457,562,-4.573686009200017,4792
NAA60,-53.807608234283585,438,-49.23341914834497,438,-4.574189085938613,4793
CDC20,-74.97829585605197,36,-70.40026262071397,36,-4.5780332353379976,4794
IGSF23,-107.97586059570312,1,-103.39032745361328,1,-4.585533142089844,4795
TIMELESS,-93.27151247821277,79,-88.68391331539878,79,-4.587599162813987,4796
ZNF730,-58.1495107014974,6,-53.556573232014976,6,-4.592937469482422,4797
ALKBH6,-139.08607874331267,230,-134.45778778739597,230,-4.628290955916697,4798
SNHG21,-81.51403605937958,128,-76.86578702926636,128,-4.64824903011322,4799
FLI1,-92.7277990270544,27,-88.07504752830222,27,-4.652751498752181,4800
SLC43A2,-87.12486205032567,418,-82.47171825427188,418,-4.653143796053797,4801
MEIG1,-66.64290574017693,68,-61.986317690681005,68,-4.656588049495923,4802
ZNF460,-84.66382797904636,23,-79.99100925611413,23,-4.672818722932234,4803
HEATR6,-92.60242377387152,81,-87.92889677448038,81,-4.673526999391143,4804
C11orf98,-92.08941014607747,6,-87.40881983439128,6,-4.680590311686188,4805
ICAM2,-83.74344877956966,179,-79.06253558963371,179,-4.68091318993595,4806
NOL11,-69.25115935246747,266,-64.57018040535145,266,-4.680978947116017,4807
PITPNA-AS1,-63.71517490386963,300,-59.030755310058595,300,-4.684419593811036,4808
DARS2,-95.44093160918264,66,-90.75529260346384,66,-4.685639005718798,4809
CAMKMT,-88.49047063401908,121,-83.78284561535544,121,-4.707625018663634,4810
ZNF85,-100.0808375767299,35,-95.3725315638951,35,-4.708306012834811,4811
DDB2,-66.61269256997346,301,-61.901458828948265,301,-4.711233741025197,4812
LINC00638,-97.23665442833534,13,-92.51456040602464,13,-4.722094022310699,4813
ZNF567,-79.78948156782191,139,-75.06542886418404,139,-4.724052703637867,4814
ZNF8,-69.70319813695447,58,-64.95905639385354,58,-4.744141743100926,4815
TRAF7,-75.01399628518533,403,-70.26763766456774,403,-4.746358620617585,4816
TBC1D2B,-85.39171597384667,258,-80.64096953517706,258,-4.7507464386696086,4817
PRDX6,-85.89278709739365,1839,-81.11070219105258,1839,-4.782084906341069,4818
WDR89,-84.75268822042351,117,-79.95925120818309,117,-4.7934370122404175,4819
TSR1,-102.76883568743614,237,-97.96275587122149,237,-4.806079816214648,4820
PTCH2,-57.514315650576634,63,-52.70437355647012,63,-4.809942094106518,4821
S100A10,-74.20700778265069,2055,-69.39258676422193,2055,-4.81442101842876,4822
CDH23,-95.9870957268609,18,-91.15448888142903,18,-4.832606845431869,4823
ZNF552,-101.34276517980238,170,-96.5058572656968,170,-4.836907914105581,4824
GPATCH1,-93.64722054092972,108,-88.8054283283375,108,-4.841792212592225,4825
DCAF17,-96.67836330247962,92,-91.81911576312521,92,-4.8592475393544134,4826
ZSCAN30,-99.385095557388,98,-94.50170929577885,98,-4.883386261609147,4827
ZNF585A,-113.63815196867913,62,-108.74795495310137,62,-4.890197015577755,4828
SLK,-64.94646478097972,598,-60.05227960312247,598,-4.894185177857253,4829
TIMM44,-64.28442088785691,349,-59.3887315657214,349,-4.89568932213551,4830
NLE1,-87.67797128478092,134,-82.778372351803,134,-4.8995989329779235,4831
DPEP2,-99.09098229041466,26,-94.18903174767128,26,-4.9019505427433785,4832
CNN3,-75.4430857795981,1206,-70.54104996992778,1206,-4.902035809670323,4833
UGGT2,-75.08989486226275,163,-70.17769735137378,163,-4.912197510888973,4834
