gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
PCED1B,-127.45522975921631,80,-269.7102867126465,80,142.2550569534302,150
TBC1D26,-97.97309875488281,2,-239.49832153320312,2,141.5252227783203,151
NCOR2,-63.996431595786326,716,-204.13642604124612,716,140.1399944454598,152
CDH16,-125.79625829060872,48,-265.83303419748944,48,140.03677590688073,153
MRPL23-AS1,-60.4946403503418,1,-200.47113037109372,1,139.97649002075192,154
SIX3-AS1,-102.75912475585938,2,-242.1643524169922,2,139.4052276611328,155
OVOL1-AS1,-96.34117889404295,1,-235.6241149902344,1,139.28293609619146,156
LINC00342,-153.47084519285593,161,-292.6859657808861,161,139.21512058803015,157
LAD1,-45.73418197938648,746,-184.67007614013016,746,138.9358941607437,158
MIR202HG,-104.01799011230467,1,-242.7493896484375,1,138.7313995361328,159
LINC00662,-93.08249426507331,154,-231.78420406192927,154,138.70170979685597,160
KCNK4,-63.4831485748291,2,-201.84793853759766,2,138.36478996276855,161
HIC1,-170.17998157848012,11,-308.1647976962003,11,137.9848161177202,162
GRIN2C,-60.31528377532959,4,-198.19769668579102,4,137.88241291046143,163
RPS6KA4,-80.09294684579439,214,-217.74794141822886,214,137.65499457243448,164
PPP1R9B,-56.93674296312371,243,-194.20136182494616,243,137.26461886182244,165
HAGHL,-87.4194408009646,253,-224.65761955170763,253,137.23817875074303,166
IGLON5,-178.1866455078125,1,-314.70025634765625,1,136.51361083984375,167
TPSAB1,-75.16731643676758,60,-211.20612462361655,60,136.03880818684897,168
B3GAT1,-44.15336647033691,60,-179.31008555094402,60,135.1567190806071,169
KRT86,-84.79298198466398,49,-218.91433186433753,49,134.12134987967355,170
TMEM251,-144.07375665480092,465,-278.0950696063298,465,134.02131295152887,171
PTPRE,-60.41357132220337,698,-194.13086453413212,698,133.71729321192873,172
C15orf62,-108.6189921985973,22,-241.92222525856712,22,133.30323305996984,173
DUSP8,-74.0021311884341,230,-206.18032014266305,230,132.17818895422894,174
JAG2,-67.09438853110036,124,-198.14188089678365,124,131.0474923656833,175
CNIH2,-72.44907901905201,54,-203.47062089708118,54,131.02154187802915,176
TPBGL,-55.49715805053711,1,-186.42376708984372,1,130.9266090393066,177
FSCN2,-71.32878730410621,21,-202.18602934337798,21,130.85724203927177,178
SSC5D,-101.81191298540901,17,-232.5483236873851,17,130.7364107019761,179
CCDC144NL-AS1,-115.00720105852399,7,-245.4160614013672,7,130.40886034284318,180
MAFG,-53.31097280610868,615,-183.6492712005367,615,130.33829839442802,181
KCNK1,-48.140578263684326,608,-178.40114061455978,608,130.26056235087546,182
SNCG,-109.66508809257957,136,-239.28742745343376,136,129.6223393608542,183
IKBKE,-93.86767854361699,116,-223.06542126885776,116,129.19774272524077,184
AGRN,-54.104772860116334,822,-183.0999028560889,822,128.99512999597258,185
IFI6,-74.49832465268172,1059,-203.42180508909865,1059,128.92348043641692,186
MTUS2-AS1,-167.8910369873047,1,-296.4443054199219,1,128.5532684326172,187
GRIK5,-99.65199089050292,4,-228.15136337280273,4,128.4993724822998,188
CLCF1,-94.18895496860627,248,-222.538632423647,248,128.3496774550407,189
RFNG,-72.32715167218481,342,-200.58430262336955,342,128.25715095118474,190
NDUFA13,-89.34908692551961,1465,-217.55103171286729,1465,128.20194478734766,191
MYO15A,-100.10555562106046,44,-228.1532519947399,44,128.04769637367943,192
FAAP20,-76.61548778574954,1302,-204.17583353068972,1302,127.56034574494018,193
DOC2B,-67.9181417099973,94,-195.17708555180977,94,127.25894384181247,194
OSGIN1,-83.48823881985848,114,-210.54378870913857,114,127.05554988928009,195
CTXN1,-71.19191949120884,232,-197.99901580810547,232,126.80709631689663,196
PPP1R14B,-44.87927371640749,869,-171.55783212747343,869,126.67855841106595,197
ADAM8,-81.94040014093572,275,-208.4715359774503,275,126.53113583651457,198
ANGPTL8,-82.38148244222005,3,-208.41253662109375,3,126.0310541788737,199
YPEL3,-111.98447786841062,1010,-237.85512394669033,1010,125.8706460782797,200
SMPD4,-68.99783628350062,302,-194.63321514003323,302,125.63537885653261,201
TMEM240,-61.98804473876953,9,-187.46783447265625,9,125.47978973388672,202
CAPN15,-77.15933366255327,165,-202.55845614346592,165,125.39912248091265,203
CEACAM7,-100.19116973876953,5,-225.56202087402343,5,125.3708511352539,204
KRT7,-59.23116403452208,1466,-184.2573997528784,1466,125.02623571835632,205
TNNI3,-122.84198960390958,88,-247.08701757951215,88,124.24502797560257,206
TGFBR3L,-92.7207442522049,64,-216.08557438850403,64,123.36483013629913,207
WDR45B,-96.79674974943462,950,-220.06527313232422,950,123.2685233828896,208
SCN4A,-106.65711975097656,3,-229.59122721354166,3,122.9341074625651,209
METRNL,-66.0218391784083,313,-188.63919374508598,313,122.61735456667768,210
COL8A2,-97.67466405232747,30,-220.10187428792318,30,122.42721023559571,211
CPNE7,-46.96279064444609,43,-169.37162354935046,43,122.40883290490437,212
TRAPPC12-AS1,-82.82739067077637,4,-205.23147201538086,4,122.40408134460449,213
ADAM11,-65.54202270507812,1,-187.47528076171875,1,121.93325805664062,214
AKT1,-56.497639408633795,767,-178.42510562583396,767,121.92746621720016,215
RTN4RL2,-70.89851045961733,135,-192.72298233597368,135,121.82447187635636,216
SPATA20,-51.5318830766474,421,-173.32415876592424,421,121.79227568927683,217
ACE,-51.849368405629356,83,-173.15578764030732,83,121.30641923467797,218
LINC00304,-201.1323699951172,4,-321.94264221191406,4,120.81027221679688,219
SBK1,-94.65922527664279,163,-215.33787545982315,163,120.67865018318037,220
A1BG,-81.96748814079332,322,-201.91217258998327,322,119.94468444918995,221
LINC01126,-90.45075988769533,1,-210.1820831298828,1,119.73132324218749,222
MGC16275,-52.82713317871094,13,-172.55723923903244,13,119.7301060603215,223
GLRX3,-57.351403098817556,818,-176.86736411395458,818,119.51596101513702,224
TMEM132B,-59.52488040924072,4,-178.97635650634766,4,119.45147609710693,225
WNK4,-83.82032057818245,17,-202.91706040326287,17,119.09673982508042,226
MTCL1,-79.11949610710144,32,-197.80919313430786,32,118.68969702720642,227
NUDT16L1,-78.04364802880201,668,-196.450992926866,668,118.407344898064,228
ARID3A,-45.61269483607929,229,-163.919197448997,229,118.30650261291771,229
CCS,-183.37821118297472,549,-301.4459022841601,549,118.0676911011854,230
CHI3L1,-52.48348431709485,663,-170.53797631817525,663,118.0544920010804,231
TMC8,-91.62328193301246,126,-209.56094929528615,126,117.93766736227369,232
F10,-93.32722091674805,4,-211.24298477172852,4,117.91576385498047,233
KCNK3,-103.88374633789063,5,-221.78164978027343,5,117.8979034423828,234
HOXC8,-96.78949356079102,2,-214.5643768310547,2,117.77488327026367,235
KHNYN,-101.9490172089977,293,-219.71576875549943,293,117.76675154650172,236
AQP2,-117.6794204711914,2,-235.2854766845703,2,117.6060562133789,237
MOB3A,-74.27476061307468,260,-191.79337392953727,260,117.51861331646259,238
EME2,-82.93917826059702,74,-200.34948194349136,74,117.41030368289434,239
