gene,count_cancer,count_normal,S(gene),count_total
ADAMTSL3,1,4,4.727883911,5
WDR81,58,105,4.693248585,163
SHANK2,108,198,4.660264333,306
EVA1A,293,413,4.635736601,706
RAPGEF3,38,51,4.614882394,89
POU2AF1,4,65,4.572578983,69
SHE,64,95,4.433840482,159
RAB12,30,43,4.410299745,73
CSF3,20,69,4.389031657,89
ZNF844,60,108,4.357041609,168
IQCH,13,43,4.325984274,56
GJA5,1,2,4.30569458,3
PER1,175,365,4.232930643,540
NEK3,37,56,4.219285862,93
TMEM220-AS1,5,13,4.19556978,18
LMOD1,1,2,4.093861898,3
LBHD1,3,4,4.07099969,7
CASC2,29,87,3.744092415,116
LRP8,26,46,3.706024382,72
CLSTN3,138,207,3.699285048,345
TSHZ3,2,7,3.633411831,9
ABCC4,134,185,3.553104269,319
TDRD1,3,7,3.527325439,10
DDHD1,68,95,3.515538736,163
SNX15,1,7,3.472794533,8
GPX7,41,66,3.46844732,107
DIXDC1,45,101,3.401211412,146
CD226,5,14,3.286989714,19
BTBD16,4,8,3.205785116,12
USH1C,3,5,3.105901718,8
ADRA2A,16,21,2.938003952,37
KLF2,297,399,2.809505813,696
TGFBR3,13,73,2.712478194,86
USP21,47,62,2.672090093,109
RCSD1,8,21,2.628186719,29
MED11,172,307,2.553662374,479
CALML4,19,28,2.503916801,47
ZNF544,36,81,2.44457284,117
SLC25A30-AS1,1,2,2.428190867,3
ZNF160,69,94,2.410424028,163
RASAL2,117,171,2.38802539,288
ZNF816-ZNF321P,15,34,2.168165402,49
C17orf97,35,153,2.114058393,188
RASSF10,27,125,2.113730481,152
KCNJ5,12,63,1.938570862,75
HACD1,134,320,1.873581949,454
B4GALNT2,1,3,1.860965729,4
NPC1,159,240,1.803548655,399
ZNF594,12,19,1.790838549,31
TTC4,7,17,1.758875847,24
ASPA,2,6,1.678112984,8
CLEC19A,2,3,1.520422363,5
DERL2,197,291,1.494851753,488
FAM72A,5,14,1.493462412,19
BORCS8-MEF2B,1,2,1.437889099,3
PLXDC1,29,40,1.410894753,69
ELOVL3,7,14,1.403238932,21
GRAMD1B,3,4,1.364220755,7
CCDC102A,54,74,1.189081252,128
SUSD6,243,316,1.142930729,559
C2orf76,106,145,1.05967296,251
RAB11B-AS1,79,129,1.001562559,208
LILRB2,5,15,0.988104248,20
CHD9,388,517,0.940462962,905
RHOBTB1,43,73,0.855038281,116
TMIGD2,1,6,0.791232518,7
VSIG2,335,602,0.775850131,937
B9D1,105,272,0.766915764,377
IDH3A,129,172,0.756711992,301
SRR,20,32,0.690689087,52
GAS7,6,55,0.613028479,61
ACOT11,58,88,0.597654421,146
LHB,1,2,0.58354187,3
DRC1,20,158,0.568519249,178
USP8,370,513,0.558570205,883
RABL2A,55,140,0.446864162,195
YWHAE,760,1028,0.383042572,1788
STX8,204,275,0.373134494,479
TMEM9B-AS1,6,11,0.366866617,17
ZC2HC1C,24,98,0.343767948,122
NCBP3,149,211,0.319486226,360
CREB3L1,269,442,0.250132382,711
ERO1B,65,96,0.246981508,161
SUCLG1,365,489,0.234113805,854
ZNF382,4,10,0.145772117,14
CCDC8,9,97,0.138744858,106
ODC1,466,621,0.134065784,1087
C10orf95,88,160,0.12033684,248
PECAM1,58,136,0.10230845,194
SNX29,114,174,0.012428337,288
GPR12,3,1,-0.066930771,4
PITPNC1,91,25,-0.116086171,116
ASAH2B,35,25,-0.146258672,60
ZNF629,85,42,-0.21682511,127
CHAF1A,65,30,-0.225452905,95
PAK1,214,126,-0.278382649,340
SIPA1L2,175,25,-0.281659203,200
AMPD2,79,53,-0.35352441,132
C17orf107,18,13,-0.383825979,31
OPTN,308,209,-0.408263717,517
ERAL1,187,135,-0.516001423,322
ZNF529,59,29,-0.552476796,88
GJC1,17,1,-0.587432861,18
BTF3L4,483,370,-0.591881049,853
PCDH20,22,4,-0.60895685,26
GTF3C2-AS1,2,1,-0.624554952,3
PSTK,41,31,-0.642583158,72
TEPP,49,31,-0.689450645,80
HDAC7,304,233,-0.690721679,537
GPATCH2L,213,160,-0.695315834,373
KCNAB3,10,6,-0.71475935,16
XPOT,143,99,-0.718827855,242
CHD8,226,164,-0.719467251,390
SPIRE2,123,85,-0.726265119,208
MORN4,152,86,-0.789882756,238
EHD1,262,167,-0.799082082,429
LAMA1,10,6,-0.823363781,16
UPK2,17,11,-0.858673096,28
HAAO,24,16,-0.870459557,40
ZNF350,53,40,-0.920857665,93
RYR1,92,19,-0.945758579,111
NPAS2,121,72,-1.050119785,193
SLC35F2,148,43,-1.087317262,191
CALB2,8,1,-1.134148916,9
