gene,count_cancer,count_normal,S(gene),count_total
PTPRB,24,10,-71.28255867,34
MED4-AS1,3,1,-71.86099625,4
SLC16A12-AS1,3,1,-72.31763649,4
PCF11-AS1,8,6,-72.34681756,14
PRG4,3,2,-73.07828674,5
PTGS2,258,144,-74.17612163,402
FCRL2,4,2,-74.35669963,6
IGKV2D-29,3,2,-74.58711395,5
CA10,21,1,-75.02120538,22
FDXACB1,26,11,-77.1306641,37
PICALM,342,263,-77.45643845,605
GNAO1,2,1,-78.69149399,3
FUT8,251,147,-79.7627986,398
CDH11,36,12,-80.87514178,48
PTPN22,34,16,-82.43076584,50
CR2,4,1,-83.41508942,5
MMP13,23,1,-83.60659726,24
CYSLTR2,3,2,-84.68831787,5
C1orf112,28,10,-86.80012633,38
NTS,103,26,-87.1156104,129
NR2F2-AS1,20,9,-89.47936249,29
LINC00239,25,19,-94.7855476,44
LINC01553,8,1,-95.44268629,9
C1orf105,2,1,-101.6056188,3
FRMD6,25,4,-101.6534458,29
ACMSD,5,1,-102.0610936,6
MMP3,6,3,-102.4386622,9
DPP10,47,8,-102.854885,55
TAS2R30,3,2,-106.7613159,5
LINC00539,4,2,-106.8185666,6
TCHH,2,1,-111.7082138,3
GBP2,199,137,-111.9492652,336
FCRL3,3,1,-114.0508909,4
FAP,17,3,-114.1539495,20
IGKV3-11,5,3,-117.8935227,8
RGS18,2,1,-123.2752062,3
DPYD-AS1,14,3,-130.4549915,17
BBOX1-AS1,6,3,-176.1037903,9
CHRNA7,3,1,-189.0077972,4
RDH16,2,1,-200.2060496,3
