gene,count_cancer,count_normal,delta,count_total
WDTC1,207,197,26.36690776182874,404
RAB3A,41,37,26.10477251884265,78
FLYWCH2,211,202,25.85447079563833,413
COQ6,110,102,25.79425208973435,212
MAPKAPK5-AS1,187,172,25.71333729523469,359
USP1,281,263,25.5733024933759,544
TFCP2L1,193,181,25.42352135806161,374
DRAXIN,3,3,25.422860463460296,6
SPOP,349,386,25.39948408684763,735
NDUFB7,891,972,25.164472787788466,1863
SH2B1,156,159,25.11775192987352,315
CAPZB,669,678,25.10209216802494,1347
C1orf159,58,53,24.926244237401463,111
HNRNPF,667,687,24.88607748924717,1354
EFR3B,20,22,24.76564116705032,42
ZNF525,18,17,24.73174612862724,35
SKI,232,216,24.611454759325294,448
CYTH1,292,264,24.32867549649245,556
C19orf53,916,919,24.243681834374197,1835
USP5,164,150,24.22611144242013,314
TIMM13,785,732,24.166991830422205,1517
ZMYM2,243,251,24.164467923554326,494
LINC01127,1,1,24.161403656005845,2
UBALD1,192,194,24.05862644175791,386
TMED2,772,855,23.87978826803009,1627
EIF4A3,477,459,23.791985352834075,936
RAD23A,648,661,23.781559168245156,1309
CTNS,36,35,23.675139145112382,71
ITPRIPL2,204,193,23.53831670266255,397
CEP89,134,148,23.32941697844376,282
ABHD8,104,114,23.317834381663477,218
PIK3R6,1,1,23.2855224609375,2
VTI1B,524,493,23.17486921852435,1017
S100A13,938,881,23.031760859056902,1819
ANKRD23,12,11,23.031658670176625,23
COPZ1,537,587,23.02452115231985,1124
LEPROT,476,479,22.88817990288061,955
NDUFB10,785,861,22.77221134134805,1646
RAB5C,644,637,22.766737724262512,1281
OTUB1,380,369,22.67482893552895,749
CRISPLD2,20,18,22.50275561684056,38
PTGES3L,3,3,22.24471791585286,6
TMEM53,196,203,22.043234421197027,399
SPEN,220,237,22.035617953578026,457
AKR1A1,545,499,21.994429336197072,1044
YPEL2,189,197,21.92851785056949,386
H6PD,234,218,21.916324953062343,452
LUC7L3,619,684,21.87236491662214,1303
GSTZ1,194,182,21.85078931362071,376
AKNAD1,1,1,21.71049880981444,2
PLEKHB2,407,390,21.70897155723428,797
EPHA2,378,372,21.598608927408847,750
USP6,34,36,21.595996311732705,70
RITA1,162,173,21.563790415294136,335
CDC37,516,532,21.521666555914265,1048
PABPC4,458,415,21.38618388399908,873
ITPK1,136,126,21.384419332023803,262
ARPIN,167,158,21.32813893244816,325
BCAM,715,666,21.202257381497205,1381
UBXN1,793,721,21.13562879222229,1514
LEXM,1,1,21.10292053222656,2
PELI3,26,27,21.01437960930589,53
RCVRN,1,1,20.990562438964844,2
BAX,529,489,20.985143788905415,1018
PCID2,194,177,20.976288931710386,371
SLC35F6,165,158,20.952265771918988,323
CALR,880,935,20.943332712052616,1815
LRP1,108,109,20.84440851870769,217
KCNA3,20,21,20.64048711265005,41
GCDH,134,140,20.55940037748239,274
ZDHHC7,238,220,20.50295499943229,458
CACYBP,462,459,20.444625150367827,921
PAF1,248,228,20.40551828336315,476
CAPNS1,609,567,20.34283697361848,1176
TMEM50A,669,673,20.314186135987057,1342
SYT3,1,1,20.244667053222656,2
ALX4,1,1,20.19754409790039,2
PLK3,412,413,20.176215431906957,825
SCGB2A1,138,128,20.13816486444689,266
NIPA2,234,218,19.97976273562001,452
IST1,302,272,19.929028441266325,574
PSME4,244,241,19.90071813052463,485
EML2,139,153,19.90049154464512,292
CD151,798,835,19.784677242692524,1633
SRP9,759,802,19.778197533499352,1561
FOXJ2,74,68,19.77339218032192,142
PPP4R1,395,361,19.69617998032344,756
FBXO21,303,274,19.63891561894937,577
ATP6V0A2,71,78,19.473677590389386,149
BFAR,435,418,19.463841826247723,853
CIB1,859,860,19.391027358467312,1719
KSR1,77,74,19.2740556830602,151
PRIM1,32,33,19.196646763728214,65
GRB14,45,41,19.169037752373285,86
MDM4,358,364,19.00560157120724,722
SMARCC2,217,199,18.98150820915515,416
TPM3,746,677,18.976910535500068,1423
TMC7,38,36,18.934275343611432,74
RAB6A,329,352,18.684704756771765,681
ZNF324,61,57,18.642222679267498,118
ELL,90,89,18.52281862397433,179
ZNF417,12,11,18.478399525518,23
KRTCAP2,644,611,18.47062264248669,1255
IFT20,508,468,18.41677492172991,976
PRPF31,325,299,18.370045429620987,624
EIF3A,649,676,18.285026092529293,1325
PPP4C,605,547,18.20941838953231,1152
WBP1,19,21,18.004505348205555,40
PRDX2,824,850,17.968948733422067,1674
TLX2,1,1,17.719959259033203,2
CDK11B,206,189,17.63168343652653,395
ELOF1,505,470,17.514580598488834,975
UBR3,148,164,17.43046816801413,312
LUC7L,241,249,17.400439671107705,490
C19orf25,257,233,17.316767719813754,490
VRK1,66,71,17.216432446110865,137
TMEM161A,143,144,17.197425789118654,287
C16orf90,1,1,17.096046447753906,2
RANBP3,176,172,17.082503812066435,348
ZNF37A,170,166,16.964393547603066,336
TARDBP,356,335,16.95517115724069,691
IFT172,154,164,16.936975515113687,318
CCDC121,35,35,16.93139833722796,70
ZNF646,37,37,16.88508348207216,74
DYNC1LI2,450,461,16.45905414501739,911
USP3,271,270,16.434563218996388,541
HNRNPC,824,874,16.34199603904122,1698
RASIP1,6,6,16.321504592895508,12
VPS33B,40,37,16.23700877598354,77
VPS25,420,387,16.218733776900848,807
HAT1,238,215,16.057190505610926,453
CRB3,624,586,16.048313241753704,1210
RAB1A,674,673,16.03473592247004,1347
PKM,850,879,16.024863007580215,1729
CYFIP1,222,209,16.00100507979603,431
EIF3G,702,761,15.838547404791832,1463
RAB25,745,680,15.755029430724022,1425
DNAJC8,477,489,15.642529864735728,966
BRD4,497,485,15.624139051573344,982
AGO4,111,110,15.482311179735008,221
RASL11A,26,28,15.480905956692167,54
PRADC1,138,148,15.432518618923794,286
HDDC3,209,219,15.404558235239762,428
PYCR2,331,328,15.38573214425302,659
ANAPC11,892,946,15.317327559578018,1838
AP1G1,223,222,15.20885898718673,445
PLEKHG2,205,191,15.179667636601607,396
OGFOD2,118,127,15.155490812963365,245
SLC38A6,81,83,15.155245571601682,164
WBP2,495,545,15.110748228659991,1040
STK40,195,181,15.009526516528837,376
GBF1,145,153,14.881542180208555,298
OAT,331,344,14.859974060058605,675
GLG1,328,315,14.815278713291576,643
VPS18,72,71,14.755374775066244,143
EMG1,338,310,14.752634083783178,648
SMIM12,253,240,14.71396260135797,493
MPRIP,285,277,14.586598813745894,562
AP2S1,759,701,14.490774044925224,1460
ANKRD39,217,202,14.406506486041453,419
STX5,275,264,14.375169417853698,539
TOMM20L,2,2,14.363584518432615,4
SEC61A2,24,26,14.325698699951175,50
THRSP,1,1,14.215770721435549,2
PRRC2C,697,648,14.195982695512155,1345
IER3IP1,455,490,14.178211652160329,945
ZBTB32,2,2,14.088827133178713,4
STAT6,351,329,13.83209036658792,680
B3GAT3,249,233,13.828804973744743,482
ZNF625-ZNF20,1,1,13.794679641723633,2
CLPX,199,182,13.766283731135168,381
CCDC159,140,139,13.722282026830968,279
SMIM6,177,182,13.700904187385746,359
RNF41,186,189,13.696838928222654,375
LIMS1,354,355,13.592397929246744,709
CDK2,45,49,13.566080945603405,94
PUS3,86,92,13.557875986849323,178
TCF25,683,676,13.5485833780655,1359
COX5A,821,881,13.45923034901064,1702
CHID1,409,424,13.372004624603749,833
NFATC2IP,298,269,13.240816792483052,567
DNAJC16,128,127,13.198733011881515,255
CWC25,380,359,13.134564235826623,739
CACUL1,300,279,12.965736231037994,579
APRT,832,909,12.899385937598154,1741
EARS2,41,42,12.882991744811278,83
MAST3,53,49,12.854744331509451,102
SSTR2,5,5,12.83151321411134,10
PSMC3,430,403,12.72647598468098,833
ZFP36L1,965,1044,12.678643564135951,2009
ZC3H10,34,35,12.664313496022984,69
SNAP23,260,249,12.628888533017026,509
GTF2F1,286,266,12.511995840763705,552
DDX21,572,543,12.500382229244764,1115
SRSF10,520,542,12.461809054157383,1062
CHERP,203,190,12.432500504355396,393
BICC1,57,53,12.292286612770766,110
EXOSC10,115,127,12.286596849930184,242
LRRK1,43,44,12.251082058610592,87
TMEM205,667,698,12.09382930937268,1365
RAB31,391,367,11.976840711206124,758
RHPN2,79,75,11.902878872759937,154
ALKBH7,697,771,11.900973153698992,1468
FBXL8,65,64,11.822329794713696,129
PLEKHA3,279,279,11.793275470802,558
DDX28,42,39,11.779793915925213,81
ZNF511,373,348,11.762134895906698,721
FNBP4,308,308,11.718465922714827,616
CYB5RL,31,28,11.690801846778996,59
ANKK1,5,5,11.671582794189447,10
PARN,191,175,11.645705290830854,366
ZNF562,132,123,11.634848201976103,255
GDI2,561,532,11.632181371774353,1093
KMT5C,103,103,11.581562190379913,206
NEMF,349,330,11.425779856708516,679
REL,543,490,11.37282292678995,1033
SLC26A9,151,147,11.201601322865317,298
WDFY2,145,131,11.16161133586496,276
EYA3,96,91,11.152698537245158,187
TMPRSS12,1,1,11.11838150024414,2
SDHAF1,220,198,11.112902025286658,418
MRPS35,289,262,11.08875312735944,551
GUK1,908,965,11.06150384058752,1873
SF1,666,611,10.965551616815077,1277
PSMB10,116,128,10.939757300204931,244
HNRNPUL1,513,553,10.863451072020126,1066
NDUFS8,754,757,10.817725736364316,1511
GRIN2A,2,2,10.80435562133789,4
SGF29,109,116,10.715751529269744,225
PSMA3,535,532,10.713527025188824,1067
USP14,265,250,10.707176741813,515
SNRPD2,887,956,10.667918165416992,1843
ACADS,213,208,10.64691616973515,421
MICU2,222,239,10.6267833751091,461
TTC22,57,54,10.481035593393685,111
DDX6,397,372,10.464280266135503,769
SLX4,33,33,10.372596393932,66
CEBPG,219,221,10.363934516906738,440
ZBTB8B,2,2,10.331361770629885,4
ZNF136,70,71,10.327287930968808,141
CHTOP,406,373,10.247376374622974,779
ADNP2,139,135,10.233119546932016,274
SRSF9,698,707,10.191330363317732,1405
CCSER2,318,348,10.057938590064062,666
RETSAT,174,165,9.971820775034857,339
ARHGAP32,244,250,9.903454058566084,494
MIEN1,663,662,9.86803700860942,1325
TAF6L,49,45,9.793475455426162,94
DEF8,200,209,9.71353076664336,409
PTP4A2,796,790,9.660233383371136,1586
PRR13,771,812,9.608984816473496,1583
AMZ2,288,268,9.447161832301733,556
CITED4,124,122,9.409028991451107,246
TPM4,587,538,9.397615871853304,1125
HNRNPM,563,564,9.376234875385386,1127
XAB2,247,250,9.375742691623373,497
ZNF682,81,90,9.368049197726783,171
ANGEL2,132,120,9.316550633263958,252
TM2D1,381,368,9.256898582061233,749
VEZF1,375,396,9.209922691572814,771
CAND1,340,309,9.196760979933076,649
THNSL2,179,185,9.060580829997631,364
NUFIP1,88,86,9.002087034028158,174
IPO13,70,73,8.994319568980828,143
YTHDF2,529,487,8.970059443646527,1016
TNFRSF1A,455,428,8.954153516689487,883
CKAP2,48,44,8.945199551789656,92
ELOVL1,308,331,8.93813835585808,639
SSRP1,391,356,8.888990144333846,747
CREBBP,286,274,8.868973091670455,560
COX20,505,480,8.85663030014426,985
MRPL20,812,856,8.779344350599843,1668
PRMT7,107,99,8.603955537370112,206
LSM4,644,596,8.583192062377933,1240
SCAMP4,271,287,8.574290723356292,558
PTEN,299,296,8.564479795824582,595
PPFIBP2,93,86,8.542922973632812,179
LONP1,224,216,8.53724275068803,440
BACE1,63,59,8.471690506231596,122
HACD3,460,492,8.467626904239168,952
FAM81A,22,21,8.457658279773796,43
SNW1,332,340,8.442957832699733,672
LSM7,653,657,8.423470993624392,1310
AXL,81,78,8.353111698942357,159
RBM4,172,169,8.203321686238496,341
PDCD5,636,590,8.186353036279975,1226
FAIM2,2,2,8.075569152832031,4
MRPS21,763,785,8.069030190007012,1548
TRIT1,77,82,7.980971690243898,159
PRKCSH,503,476,7.970100866518422,979
IER5,506,458,7.913671620159221,964
SNRNP35,177,177,7.849068776362365,354
MTF1,134,123,7.798524685870802,257
MPV17L2,82,89,7.721094655711752,171
GMEB1,88,85,7.55468320019672,173
SSR2,857,939,7.526013607968196,1796
PSPC1,249,247,7.470165298831091,496
FKBP8,732,771,7.427804775580682,1503
ECSIT,262,255,7.415196726815608,517
UBE4B,140,132,7.400356713463275,272
MICU1,233,242,7.317870828728928,475
HAUS1,143,131,7.296793220687086,274
ZBTB8OS,376,347,7.1745304883268375,723
ZNF236,49,51,7.137335281372074,100
GDPGP1,46,42,7.095875306562945,88
CDC42,812,890,7.027484609153376,1702
COG1,95,88,6.967682927032627,183
LGMN,633,652,6.9259750425583775,1285
GALE,400,370,6.813555452421113,770
LRP10,583,577,6.718557222958268,1160
MNT,122,133,6.695776217591529,255
GPR137,146,133,6.687457860584317,279
PKD1,162,160,6.674241119289988,322
EI24,674,642,6.619856211189806,1316
DHRS1,214,218,6.604541937510177,432
HNRNPR,472,472,6.546170064958474,944
PRPF40A,517,488,6.518510133354226,1005
EPS15L1,102,103,6.444657023360094,205
FLII,227,218,6.425941904475181,445
ZNF528,33,34,6.367543576368632,67
RNF214,92,84,6.339241157878533,176
RERE,381,344,6.331970814672019,725
SUCLA2-AS1,1,1,6.298069000244141,2
EMC10,561,602,6.279073464286185,1163
THUMPD1,339,345,6.228259125648194,684
MLF2,597,587,6.19556419269459,1184
AURKC,7,7,6.183511461530415,14
RBM8A,777,776,6.1712256196384985,1553
PCP2,26,26,6.103876113891602,52
DNASE2,292,311,6.082004781188459,603
AP1M1,151,143,6.001115344819567,294
HMG20B,341,349,5.903316895858097,690
CD2BP2,377,350,5.893882289713318,727
ZNF784,47,49,5.876681605974831,96
NDUFV1,503,463,5.720466708544606,966
SESN2,89,88,5.665294410145208,177
SLC1A5,273,253,5.601413951627201,526
F11R,618,561,5.593273551106151,1179
KNSTRN,47,43,5.552251603868271,90
ZNF740,42,42,5.368372599283845,84
TRADD,395,364,5.268787786109336,759
ANKRD36,73,73,5.248006533270015,146
IRS2,323,291,5.224548426823816,614
MFAP1,186,173,5.2120054877236015,359
ZFP28,17,18,5.116741943359372,35
TANGO6,41,38,5.0572048621841645,79
CUEDC2,323,300,5.046855742820384,623
CXCL16,375,404,5.013620839345435,779
TUBGCP3,97,91,5.0085118070561805,188
MRPL19,244,253,4.899462678782655,497
ZNF625,12,13,4.894880523681636,25
SPPL2B,167,154,4.819245620680007,321
HP1BP3,535,483,4.809889345599999,1018
MRPL57,734,805,4.724768040627914,1539
ZNF823,18,17,4.722952706473208,35
PRSS33,1,1,4.722606658935547,2
VMP1,723,701,4.6558464778943005,1424
PTPN9,100,98,4.636633535828253,198
TFAP4,28,28,4.605002267020083,56
ERH,820,857,4.576392663399517,1677
S100A7,1,1,4.525989532470703,2
CDIP1,98,91,4.478360938016706,189
PITRM1-AS1,2,2,4.452926635742188,4
SMYD2,194,186,4.373979929873826,380
SLC9A3R2,413,443,4.3696303768692815,856
RBMXL1,146,161,4.341538121723588,307
WDR47,54,57,4.32979655910183,111
DNTTIP2,239,225,4.32621021928459,464
ARL2BP,334,350,4.322418608860659,684
MAGOH,456,495,4.307781785068443,951
DYNC1H1,346,379,4.306167392072993,725
CLUH,112,104,4.290778477986649,216
CREB3L4,109,106,4.24989588537882,215
DHDH,39,38,4.225026415540029,77
SYF2,642,629,4.175431942583359,1271
COX16,148,154,4.153442837544631,302
C2orf74,152,157,4.122241615863302,309
BCCIP,252,236,4.09323576630139,488
TAX1BP3,394,437,4.01263336842672,831
MBD6,154,150,4.009224113665127,304
DFFB,24,24,3.9881141185760423,48
STARD10,629,697,3.958268661844244,1326
RNPS1,556,544,3.887498279918333,1100
ARNT,150,138,3.8256611691580886,288
EPN2,191,185,3.8058786493666616,376
PSMB2,580,609,3.687025562668168,1189
IFNLR1,20,21,3.647938053782397,41
ARHGAP17,94,102,3.553593771798262,196
RAB11B,535,591,3.51075930282024,1126
MGA,88,91,3.450841807786311,179
GID4,53,57,3.3748884027654498,110
CCDC59,421,423,3.358238581797522,844
RAB1B,393,427,3.3162853054883925,820
ETFB,675,745,3.2984372259865324,1420
ZFPL1,194,181,3.277474548339839,375
GMPR2,297,275,3.2445093168245336,572
S100A9,638,671,3.06772167651684,1309
PNN,469,460,3.046410374800537,929
ZNF285,2,2,3.03079605102539,4
POP5,293,281,3.014099679342138,574
PTS,352,339,2.950160764923311,691
RPA2,240,220,2.916559227653167,460
CELA2A,2,2,2.8756046295166016,4
MIB1,161,146,2.841626493472617,307
PPT1,347,359,2.7937761906523804,706
USP10,195,200,2.7915514306177016,395
PSMB3,775,779,2.7903608717359845,1554
SNAPC5,253,230,2.7766556986617275,483
TAS1R1,3,3,2.670421600341797,6
NASP,380,400,2.6559911532279727,780
DEDD2,245,263,2.6453022243469704,508
MAPK4,5,5,2.6039207458496207,10
IVD,287,310,2.573911171662345,597
FAHD2A,155,148,2.524814567943622,303
CNST,108,119,2.4376911045696232,227
FBXL15,356,369,2.432831326188719,725
MRPL16,282,259,2.3080380875169624,541
EZH1,102,100,2.304063475958202,202
YME1L1,509,560,2.279362188754959,1069
BANP,92,87,2.2570412491952823,179
RABGGTB,345,359,2.102452592416242,704
COQ9,202,184,2.058677554748222,386
